Author,Title,URN,Lang,Prose,filename,Sections
Thucydides,History of the Peloponnesian War,tlg0003.tlg001.perseus-grc1.1,grk,True,tlg0003.tlg001.perseus-grc1.1.tb.xml,1
Plato,Euthyphro,tlg0059.tlg001.perseus-grc1,grk,True,tlg0059.tlg001.perseus-grc1.tb.xml,
Plutarch,Lycurgus,tlg0007.tlg004.perseus-grc1,grk,True,tlg0007.tlg004.perseus-grc1.tb.xml,
Diodorus Siculus,Historical Library,tlg0060.tlg001.perseus-grc3.11,grk,True,tlg0060.tlg001.perseus-grc3.11.tb.xml,11
Plutarch,Alcibiades,tlg0007.tlg015.perseus-grc1,grk,True,tlg0007.tlg015.perseus-grc1.tb.xml,
Aeschylus,Supplices,tlg0085.tlg001.perseus-grc2,grk,False,tlg0085.tlg001.perseus-grc2.tb.xml,
Athenaeus of Naucratis,Deipnosophistae,tlg0008.tlg001.perseus-grc1.12,grk,True,tlg0008.tlg001.perseus-grc1.12.tb.xml,12
Aeschylus,Persians,tlg0085.tlg002.perseus-grc2,grk,False,tlg0085.tlg002.perseus-grc2.tb.xml,
Athenaeus of Naucratis,Deipnosophistae,tlg0008.tlg001.perseus-grc1.13,grk,True,tlg0008.tlg001.perseus-grc1.13.tb.xml,13
Aeschylus,Prometheus Bound,tlg0085.tlg003.perseus-grc2,grk,False,tlg0085.tlg003.perseus-grc2.tb.xml,
Sophocles,Trachiniae,tlg0011.tlg001.perseus-grc2,grk,False,tlg0011.tlg001.perseus-grc2.tb.xml,
Aeschylus,Seven Against Thebes,tlg0085.tlg004.perseus-grc2,grk,False,tlg0085.tlg004.perseus-grc2.tb.xml,
Sophocles,Antigone,tlg0011.tlg002.perseus-grc2,grk,False,tlg0011.tlg002.perseus-grc2.tb.xml,
Aeschylus,Agamemnon,tlg0085.tlg005.perseus-grc1,grk,False,tlg0085.tlg005.perseus-grc1.tb.xml,
Sophocles,Ajax,tlg0011.tlg003.perseus-grc1.1,grk,False,tlg0011.tlg003.perseus-grc1.tb.xml,
Aeschylus,Libation Bearers,tlg0085.tlg006.perseus-grc2,grk,False,tlg0085.tlg006.perseus-grc2.tb.xml,
Sophocles,Oedipus Tyrannus,tlg0011.tlg004.perseus-grc1,grk,False,tlg0011.tlg004.perseus-grc1.tb.xml,
Aeschylus,Eumenides,tlg0085.tlg007.perseus-grc1,grk,False,tlg0085.tlg007.perseus-grc1.tb.xml,
Sophocles,Electra,tlg0011.tlg005.perseus-grc2,grk,False,tlg0011.tlg005.perseus-grc2.tb.xml,
Origenes,Contra Celsum,tlg0096.tlg002.opp-grc2.1-53,grk,True,tlg0096.tlg002.opp-grc2.1-53.tb.xml,1-53
Homer,Iliad,tlg0012.tlg001.perseus-grc1,grk,False,tlg0012.tlg001.perseus-grc1.tb.xml,
Lysias,On the Murder of Eratosthenes,tlg0540.tlg001.perseus-grc1,grk,True,tlg0540.tlg001.perseus-grc1.tb.xml,
Homer,Odyssey,tlg0012.tlg002.perseus-grc1,grk,False,tlg0012.tlg002.perseus-grc1.tb.xml,
Lysias,Against Alcibiades: For Deserting the Ranks,tlg0540.tlg014.perseus-grc1,grk,True,tlg0540.tlg014.perseus-grc1.tb.xml,
Homeric Hymns,Hymn 2 to Demeter,tlg0013.tlg002.perseus-grc1,grk,False,tlg0013.tlg002.perseus-grc1.tb.xml,
Lysias,Against Alcibiades: For Refusal of Military Service,tlg0540.tlg015.perseus-grc1,grk,True,tlg0540.tlg015.perseus-grc1.tb.xml,
Herodotus,Histories,tlg0016.tlg001.perseus-grc1.1,grk,True,tlg0016.tlg001.perseus-grc1.1.tb.xml,1
Lysias,Against Pancleon,tlg0540.tlg023.perseus-grc1,grk,True,tlg0540.tlg023.perseus-grc1.tb.xml,
Hesiod,Theogony,tlg0020.tlg001.perseus-grc1,grk,False,tlg0020.tlg001.perseus-grc1.tb.xml,
Polybius,Histories,tlg0543.tlg001.perseus-grc1,grk,True,tlg0543.tlg001.perseus-grc1.tb.xml,
Hesiod,Works and Days,tlg0020.tlg002.perseus-grc1,grk,False,tlg0020.tlg002.perseus-grc1.tb.xml,
Apollodorus,Library,tlg0548.tlg001.perseus-grc1.1.1.1-1.4.1,grk,True,tlg0548.tlg001.perseus-grc1.1.1.1-1.4.1.tb.xml,1.1.1.1-1.4.1
Hesiod,Shield of Heracles,tlg0020.tlg003.perseus-grc1,grk,False,tlg0020.tlg003.perseus-grc1.tb.xml,
