Author,Title,URN,Date,Genre,Prose,filename,Source
Apollonius Rhodius,Argonautica,0001-001,3 B.C.,Epic poetry,,Glaux
Theognis,Epigrammata,0002-004,6 B.C.,Lyric poetry,,Glaux
Thucydides,History of the Peloponnesian War,0003-001,5 B.C.,History,,Glaux
Thucydides,Epigramma,0003-002,5 B.C.,Lyric poetry,,Glaux
Theocritus,Εἰδύλλια,0005-001,4-3 B.C.,Lyric poetry,,Glaux
Theocritus,Ἐπιγράμματα,0005-002,4-3 B.C.,Lyric poetry,,Glaux
Theocritus,Epigrammata,0005-005,4-3 B.C.,Lyric poetry,,Glaux
Euripides,Hecuba,0006-007,5 B.C.,Tragedy,,Glaux
Euripides,The Suppliant Maidens,0006-008,5 B.C.,Tragedy,,Glaux
Euripides,Heracles,0006-009,5 B.C.,Tragedy,,Glaux
Euripides,Ion,0006-010,5 B.C.,Tragedy,,Glaux
Euripides,The Trojan Women,0006-011,5 B.C.,Tragedy,,Glaux
Euripides,Electra,0006-012,5 B.C.,Tragedy,,Glaux
Euripides,Iphigenia in Tauris,0006-013,5 B.C.,Tragedy,,Glaux
Euripides,Helen,0006-014,5 B.C.,Tragedy,,Glaux
Euripides,The Phoenician Women,0006-015,5 B.C.,Tragedy,,Glaux
Euripides,Orestes,0006-016,5 B.C.,Tragedy,,Glaux
Euripides,Bacchae,0006-017,5 B.C.,Tragedy,,Glaux
Euripides,Iphigenia in Aulis,0006-018,5 B.C.,Tragedy,,Glaux
Euripides,Rhesus,0006-019,5 B.C.,Tragedy,,Glaux
Euripides,Epigrammata,0006-031,5 B.C.,Lyric poetry,,Glaux
Plutarch,Theseus,0007-001,A.D. 1-2,Biography,,Glaux
Plutarch,Romulus,0007-002,A.D. 1-2,Biography,,Glaux
Plutarch,Comparison of Theseus and Romulus,0007-003,A.D. 1-2,Biography,,Glaux
Plutarch,Lycurgus,0007-004,A.D. 1-2,Biography,,Glaux
Plutarch,Numa,0007-005,A.D. 1-2,Biography,,Glaux
Plutarch,Comparison of Lycurgus and Numa,0007-006,A.D. 1-2,Biography,,Glaux
Plutarch,Solon,0007-007,A.D. 1-2,Biography,,Glaux
Plutarch,Publicola,0007-008,A.D. 1-2,Biography,,Glaux
Plutarch,Comparison of Solon and Publicola,0007-009,A.D. 1-2,Biography,,Glaux
Plutarch,Themistocles,0007-010,A.D. 1-2,Biography,,Glaux
Plutarch,Camillus,0007-011,A.D. 1-2,Biography,,Glaux
Plutarch,Pericles,0007-012,A.D. 1-2,Biography,,Glaux
Plutarch,Fabius Maximus,0007-013,A.D. 1-2,Biography,,Glaux
Plutarch,Comparison of Pericles and Fabius Maximus,0007-014,A.D. 1-2,Biography,,Glaux
Plutarch,Alcibiades,0007-015,A.D. 1-2,Biography,,Glaux
Plutarch,Caius Marcius Coriolanus,0007-016,A.D. 1-2,Biography,,Glaux
Plutarch,Comparison of Alcibiades and Coriolanus,0007-017,A.D. 1-2,Biography,,Glaux
Plutarch,Timoleon,0007-018,A.D. 1-2,Biography,,Glaux
Plutarch,Aemilius Paulus,0007-019,A.D. 1-2,Biography,,Glaux
